,hurst_mean_revert,zscore_entry_long,zscore_entry_short,velocity_epsilon,total_return_pct,final_value,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_win,avg_loss,expectancy
17,0.35,-2.5,3.0,3.0,3.96,10395.59,11.653,19.551,148.934,0.85,30,86.67,8.39,0.0,0.0,0.0
16,0.35,-2.5,3.0,2.0,3.44,10344.32,10.692,17.765,122.567,0.85,25,88.0,9.34,0.0,0.0,0.0
14,0.35,-2.5,2.5,3.0,7.05,10705.23,8.632,13.767,126.077,2.53,39,82.05,6.81,0.0,0.0,0.0
8,0.35,-3.0,3.0,3.0,2.73,10273.42,8.537,13.794,55.654,1.37,18,83.33,4.03,0.0,0.0,0.0
67,0.45,-2.5,2.5,2.0,7.26,10726.39,7.85,12.021,133.099,2.53,43,81.4,5.28,0.0,0.0,0.0
41,0.4,-2.5,2.5,3.0,5.87,10586.71,7.809,12.318,88.237,2.62,46,80.43,6.87,0.0,0.0,0.0
30,0.4,-3.0,2.5,1.0,1.13,10112.89,7.729,17.501,100.672,0.26,12,75.0,6.49,0.0,0.0,0.0
57,0.45,-3.0,2.5,1.0,1.13,10112.89,7.729,17.501,100.672,0.26,12,75.0,6.49,0.0,0.0,0.0
75,0.45,-2.0,2.5,1.0,2.76,10276.05,7.606,11.113,86.942,0.89,40,65.0,2.33,0.0,0.0,0.0
3,0.35,-3.0,2.5,1.0,0.8,10079.8,7.442,14.432,76.408,0.24,11,72.73,4.88,0.0,0.0,0.0
7,0.35,-3.0,3.0,2.0,2.21,10220.52,7.125,11.213,42.429,1.37,16,81.25,3.46,0.0,0.0,0.0
32,0.4,-3.0,2.5,3.0,4.67,10467.32,6.965,11.308,65.296,2.47,34,70.59,4.77,0.0,0.0,0.0
62,0.45,-3.0,3.0,3.0,2.29,10228.65,6.608,10.068,47.294,1.29,26,65.38,2.92,0.0,0.0,0.0
76,0.45,-2.0,2.5,2.0,6.23,10623.13,6.581,9.609,96.183,2.67,60,75.0,2.32,0.0,0.0,0.0
44,0.4,-2.5,3.0,3.0,2.89,10289.47,6.226,9.052,48.338,1.7,34,82.35,4.34,0.0,0.0,0.0
23,0.35,-2.0,2.5,3.0,5.52,10552.03,5.968,8.722,72.884,2.87,40,72.5,2.37,0.0,0.0,0.0
78,0.45,-2.0,3.0,1.0,2.63,10263.38,5.962,8.366,45.307,1.61,31,61.29,2.36,0.0,0.0,0.0
43,0.4,-2.5,3.0,2.0,2.56,10256.06,5.86,8.526,41.257,1.7,26,88.46,7.18,0.0,0.0,0.0
13,0.35,-2.5,2.5,2.0,4.92,10491.88,5.812,9.043,62.043,2.81,33,81.82,5.59,0.0,0.0,0.0
68,0.45,-2.5,2.5,3.0,3.36,10335.79,5.673,8.212,40.904,2.45,54,74.07,2.04,0.0,0.0,0.0
49,0.4,-2.0,2.5,2.0,5.02,10501.6,5.571,8.181,71.066,2.53,49,73.47,2.34,0.0,0.0,0.0
70,0.45,-2.5,3.0,2.0,2.79,10279.44,5.551,7.852,48.796,1.61,32,81.25,4.42,0.0,0.0,0.0
40,0.4,-2.5,2.5,2.0,4.84,10483.85,5.349,8.188,60.484,2.81,37,83.78,5.48,0.0,0.0,0.0
35,0.4,-3.0,3.0,3.0,1.73,10173.44,5.26,7.831,33.849,1.29,22,68.18,2.57,0.0,0.0,0.0
66,0.45,-2.5,2.5,1.0,0.92,10092.0,5.068,7.997,37.491,0.57,21,76.19,2.16,0.0,0.0,0.0
39,0.4,-2.5,2.5,1.0,0.92,10092.0,5.068,7.997,37.491,0.57,21,76.19,2.16,0.0,0.0,0.0
50,0.4,-2.0,2.5,3.0,4.0,10400.47,5.009,7.268,44.155,2.91,51,74.51,2.0,0.0,0.0,0.0
5,0.35,-3.0,2.5,3.0,4.2,10419.97,4.993,7.741,49.675,2.77,26,76.92,3.68,0.0,0.0,0.0
34,0.4,-3.0,3.0,2.0,1.44,10143.67,4.872,7.279,27.183,1.29,16,75.0,3.01,0.0,0.0,0.0
59,0.45,-3.0,2.5,3.0,2.5,10250.33,4.677,6.76,33.669,2.02,39,66.67,2.05,0.0,0.0,0.0
61,0.45,-3.0,3.0,2.0,1.38,10138.3,4.58,6.829,26.02,1.29,19,68.42,2.73,0.0,0.0,0.0
58,0.45,-3.0,2.5,2.0,3.85,10385.06,4.537,7.0,42.21,2.87,29,72.41,3.33,0.0,0.0,0.0
31,0.4,-3.0,2.5,2.0,3.69,10368.96,4.399,6.811,39.738,2.87,27,74.07,3.66,0.0,0.0,0.0
4,0.35,-3.0,2.5,2.0,3.66,10366.31,4.396,6.789,39.339,2.87,24,75.0,3.34,0.0,0.0,0.0
22,0.35,-2.0,2.5,2.0,3.67,10367.37,4.307,6.275,36.133,3.14,37,70.27,1.95,0.0,0.0,0.0
79,0.45,-2.0,3.0,2.0,2.37,10237.08,4.207,5.457,23.06,2.76,49,73.47,1.63,0.0,0.0,0.0
71,0.45,-2.5,3.0,3.0,1.95,10194.72,3.935,5.61,33.18,1.51,40,75.0,1.76,0.0,0.0,0.0
72,0.45,-2.0,2.0,1.0,1.32,10131.6,3.611,5.015,32.916,0.96,56,57.14,1.38,0.0,0.0,0.0
65,0.45,-2.5,2.0,3.0,2.8,10280.41,3.602,5.336,20.106,3.92,71,63.38,1.56,0.0,0.0,0.0
52,0.4,-2.0,3.0,2.0,1.41,10141.05,2.805,3.588,14.305,2.39,37,72.97,1.47,0.0,0.0,0.0
37,0.4,-2.5,2.0,2.0,2.24,10224.48,2.746,3.816,13.855,4.29,46,69.57,1.93,0.0,0.0,0.0
10,0.35,-2.5,2.0,2.0,1.96,10196.0,2.704,3.754,11.739,4.29,40,65.0,2.05,0.0,0.0,0.0
56,0.45,-3.0,2.0,3.0,1.95,10195.4,2.671,3.963,14.352,3.5,56,55.36,1.47,0.0,0.0,0.0
26,0.35,-2.0,3.0,3.0,1.62,10161.82,2.656,3.499,16.807,2.39,30,73.33,1.5,0.0,0.0,0.0
11,0.35,-2.5,2.0,3.0,1.43,10142.69,2.624,3.571,12.136,2.86,45,66.67,1.54,0.0,0.0,0.0
38,0.4,-2.5,2.0,3.0,1.48,10147.81,2.463,3.343,14.608,2.47,55,67.27,1.42,0.0,0.0,0.0
60,0.45,-3.0,3.0,1.0,0.19,10019.43,2.333,4.114,12.656,0.33,4,50.0,2.17,0.0,0.0,0.0
6,0.35,-3.0,3.0,1.0,0.19,10019.43,2.333,4.114,12.656,0.33,4,50.0,2.17,0.0,0.0,0.0
33,0.4,-3.0,3.0,1.0,0.19,10019.43,2.333,4.114,12.656,0.33,4,50.0,2.17,0.0,0.0,0.0
80,0.45,-2.0,3.0,3.0,1.41,10140.89,2.318,2.983,11.945,2.86,51,72.55,1.25,0.0,0.0,0.0
77,0.45,-2.0,2.5,3.0,1.62,10162.39,2.243,2.955,14.562,2.77,64,71.88,1.24,0.0,0.0,0.0
53,0.4,-2.0,3.0,3.0,1.08,10108.47,2.011,2.588,10.92,2.33,39,74.36,1.28,0.0,0.0,0.0
25,0.35,-2.0,3.0,2.0,0.9,10089.87,2.003,2.498,8.665,2.39,28,71.43,1.29,0.0,0.0,0.0
64,0.45,-2.5,2.0,2.0,1.22,10122.21,1.495,2.059,6.778,4.29,61,62.3,1.32,0.0,0.0,0.0
1,0.35,-3.0,2.0,2.0,1.0,10100.07,1.427,1.972,5.425,4.29,31,54.84,1.43,0.0,0.0,0.0
48,0.4,-2.0,2.5,1.0,0.34,10033.7,1.252,1.738,5.653,1.3,34,64.71,1.13,0.0,0.0,0.0
46,0.4,-2.0,2.0,2.0,0.97,10096.72,1.239,1.646,5.225,4.29,58,63.79,1.19,0.0,0.0,0.0
12,0.35,-2.5,2.5,1.0,0.17,10017.37,1.211,1.61,6.561,0.57,17,70.59,1.22,0.0,0.0,0.0
2,0.35,-3.0,2.0,3.0,0.49,10049.46,0.961,1.297,3.784,2.89,33,57.58,1.16,0.0,0.0,0.0
28,0.4,-3.0,2.0,2.0,0.64,10064.0,0.891,1.231,3.344,4.29,35,57.14,1.24,0.0,0.0,0.0
54,0.45,-3.0,2.0,1.0,0.08,10007.94,0.398,0.574,2.265,0.74,28,53.57,1.05,0.0,0.0,0.0
27,0.4,-3.0,2.0,1.0,0.05,10005.38,0.291,0.423,1.663,0.68,22,50.0,1.04,0.0,0.0,0.0
73,0.45,-2.0,2.0,2.0,0.04,10004.17,0.139,0.183,0.205,4.29,79,62.03,1.01,0.0,0.0,0.0
20,0.35,-2.0,2.0,3.0,-0.07,9992.78,-0.027,-0.034,-0.364,4.14,46,58.7,0.99,0.0,0.0,0.0
42,0.4,-2.5,3.0,1.0,-0.01,9998.73,-0.079,-0.101,-0.39,0.68,13,69.23,0.98,0.0,0.0,0.0
69,0.45,-2.5,3.0,1.0,-0.01,9998.73,-0.079,-0.101,-0.39,0.68,13,69.23,0.98,0.0,0.0,0.0
55,0.45,-3.0,2.0,2.0,-0.17,9983.22,-0.138,-0.191,-0.808,4.29,48,52.08,0.96,0.0,0.0,0.0
29,0.4,-3.0,2.0,3.0,-0.15,9985.32,-0.212,-0.283,-1.223,2.49,42,54.76,0.96,0.0,0.0,0.0
47,0.4,-2.0,2.0,3.0,-0.31,9969.29,-0.379,-0.483,-2.077,3.01,60,63.33,0.95,0.0,0.0,0.0
63,0.45,-2.5,2.0,1.0,-0.13,9987.27,-0.512,-0.696,-3.756,0.7,37,59.46,0.94,0.0,0.0,0.0
19,0.35,-2.0,2.0,2.0,-0.55,9945.19,-0.594,-0.778,-2.542,4.29,43,55.81,0.88,0.0,0.0,0.0
36,0.4,-2.5,2.0,1.0,-0.15,9984.71,-0.651,-0.885,-4.793,0.66,31,58.06,0.92,0.0,0.0,0.0
0,0.35,-3.0,2.0,1.0,-0.18,9981.74,-1.115,-1.494,-5.495,0.69,19,52.63,0.86,0.0,0.0,0.0
74,0.45,-2.0,2.0,3.0,-1.06,9894.21,-1.307,-1.709,-6.536,3.07,82,62.2,0.88,0.0,0.0,0.0
45,0.4,-2.0,2.0,1.0,-0.73,9927.03,-2.353,-3.112,-9.65,1.48,44,54.55,0.8,0.0,0.0,0.0
51,0.4,-2.0,3.0,1.0,-0.59,9940.97,-2.362,-3.028,-7.356,1.59,26,57.69,0.76,0.0,0.0,0.0
21,0.35,-2.0,2.5,1.0,-0.69,9931.15,-2.65,-3.412,-10.919,1.24,22,63.64,0.68,0.0,0.0,0.0
15,0.35,-2.5,3.0,1.0,-0.43,9957.37,-3.303,-4.034,-12.241,0.7,10,60.0,0.43,0.0,0.0,0.0
9,0.35,-2.5,2.0,1.0,-0.8,9919.91,-4.236,-5.232,-14.606,1.06,25,56.0,0.57,0.0,0.0,0.0
24,0.35,-2.0,3.0,1.0,-1.28,9871.67,-5.156,-6.477,-15.682,1.52,15,53.33,0.39,0.0,0.0,0.0
18,0.35,-2.0,2.0,1.0,-1.65,9834.53,-5.825,-7.304,-14.8,2.0,30,53.33,0.49,0.0,0.0,0.0
